Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
,Classe de Custo,Set/24,Out/24,Nov/24,Dez/24,Jan/25,Fev/25,Mar/25,Abr/25,Mai/25,Jun/25,Jul/25,Ago/25,Total Exer,,Classe de Custo,Set/25,Out/25,Nov/25,Dez/25,Jan/26,Total Exer,,,
,    60119003  Outros Créditos,0,0,0,0,0,0,0,-2.47,0,0,0,0,-2.47,,    60119001  Gêneros alimentí,0,0,0,225.92,0,225.92,,,
,    60119008  EstCred ICMS Pis,26.6,81.75,102.37,79.69,36.06,55.53,46.88,57.27,65.84,108.72,39.38,32.5,732.59,,    60119008  EstCred ICMS Pis,44.2,60.19,46.83,18.53,0,169.75,,,
,    60119014  Devol - Av. Déb.,0,-54.87,0,0,-640,0,0,-5.28,0,0,0,0,-700.15,,    60269012  Outros materiais,0,0,0,1085.65,0,1085.65,,,
,    60119025  Var. Est. Alim.,0,0,0,0,0,0,0,0,0,0,0,810,810,,    60119014  Devol - Av. Déb.,0,0,0,-897.5,0,-897.5,,,
,    60119035  PIS/COFINS CD,0,0,0,0,0,0,0,0,0,-34.6,0,0,-34.6,,    60119020  Outros Gêneros,-2401.52,0,0,0,0,-2401.52,,,
,    60249222  EPIs,682.99,0,1056.75,0,786.7,629.8,1158.12,1293.03,746.84,69.9,2077.87,343.8,8845.8,,    60249222  EPIs,591.74,1026.67,85.8,754.72,2253.89,4712.82,Média Mês,797.0824999999999,
,    60269231  Insumos de Desca,1354.85,410.69,279.95,1576.64,369.8,893.77,627.91,176.85,560.98,1426.33,723.97,335.86,8737.6,,    60269231  Insumos de Desca,0,397.81,420.76,0,1672.7,2491.27,,,
,    60229234  Insumos de Limpe,889.72,2317.32,4694.58,1018.64,2396.86,2114.04,1788.07,2959.55,4533.63,3891.62,1117.21,2678.03,30399.27,,    60229234  Insumos de Limpe,1450.01,3598.57,3246.89,827.96,1465.17,10588.6,,,
,    60229235  Insumos Manutenç,0,91.93,0,0,0,0,73.54,0,0,295.21,0,0,460.68,,    60229235  Insumos Manutenç,0,0,566.29,0,0,566.29,,,
,    60229237  Utensílios Limpe,496.13,242.49,242.49,323.32,323.32,1143.59,0,242.49,635.08,948.32,323.32,242.49,5163.04,,    60229237  Utensílios Limpe,0,0,0,0,502.36,502.36,,,
,    60279067  Gastos com CD,0,0,0,0,0,0,0,0,0,101.36,0,0,101.36,,,,,,,,,,,
,*   Consumo,3450.29,3089.31,6376.14,2998.29,3272.74,4836.73,3694.52,4721.44,6542.37,6806.86,4281.75,4442.68,54513.12,,*   Consumo,-315.57,5083.24,4366.57,2015.28,5894.12,17043.64,Média Mês,4145.7175,3348.6349999999998
,    64109387  Campanha Incenti,0,0,0,0,0,0,417,417,417,333,-834,666,1416,,    64109387  Campanha Incenti,0,-999,0,0,0,-999,,,
,    62869511  Transf Gest. Afa,0,0,0,0,0,0,0,1177.97,387.27,196.04,563.92,772.56,3097.76,,    62869511  Transf Gest. Afa,186.68,0,416.1,56.71,324.9,984.39,,,
,    64109301  Salarios e orden,75818.18,81535.05,79326.34,67405.12,75563.24,75703.47,74413.1,88248.76,86817.68,87645.55,90668.08,87667.75,970812.32,,    64109301  Salarios e orden,84410.56,91332.95,98328.81,80649.65,0,354721.97,,,
,    64109358  Assist Médica Si,1547.9,1480.6,1615.2,1615.2,1615.2,1654.01,1483.86,1589.85,1766.5,1731.17,1801.83,1837.16,19738.48,,    64109386  Teleterapia,0,0,0,1.55,1.55,3.1,,,
